Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
S10 3YP,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 3YQ,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 3YR,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 3YS,Terminated,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 3YT,Live,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 3YU,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 3YW,Terminated,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 3YX,Terminated,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 3YY,Terminated,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 3YZ,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 3ZR,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 3ZW,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 4AW,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 4BA,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BB,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BD,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BE,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BG,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BH,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BJ,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BL,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4BN,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4BP,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4BT,Terminated,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4BU,Terminated,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4BW,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 4DA,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DB,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DD,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DE,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DF,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DG,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DH,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DJ,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DL,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DN,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DP,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DQ,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DR,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DT,Terminated,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DY,Terminated,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4DZ,Terminated,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EA,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EB,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4ED,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EE,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EF,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4EG,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EH,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EJ,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EL,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4EN,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4EP,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EQ,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4ER,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4ES,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4ET,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EU,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EW,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EX,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EY,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4EZ,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4FA,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FB,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4FD,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FE,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FF,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FG,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FH,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FJ,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4FL,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4FN,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4FP,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4FQ,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4FR,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4GA,Live,E01007958,Sheffield 041D E01007958,32626,10,31992,10,0.026,30581,10,0.038,32790,10,26004,8,30295,10,28452,9,28735,9,31822,10,0.025,31615,10,0.041
S10 4GB,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GD,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GE,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GF,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GG,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GH,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GJ,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GL,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GN,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GP,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GQ,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GR,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GS,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GT,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GU,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4GW,Live,E01007959,Sheffield 041E E01007959,32743,10,31978,10,0.026,30736,10,0.037,32280,10,27911,9,31704,10,29109,9,29889,10,31651,10,0.027,31970,10,0.037
S10 4JA,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JB,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JD,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JE,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JF,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JG,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JH,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JJ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JL,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JN,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JP,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JQ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JR,Terminated,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4JY,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4JZ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LA,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4LB,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4LD,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4LE,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LF,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LG,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LH,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LJ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LL,Live,E01007955,Sheffield 041A E01007955,30606,10,31423,10,0.031,26103,8,0.056,32556,10,19614,6,31323,10,16747,6,30038,10,31717,10,0.027,31821,10,0.039
S10 4LN,Live,E01007957,Sheffield 041C E01007957,32816,10,32638,10,0.017,32398,10,0.024,32225,10,29238,9,31813,10,26337,9,30769,10,32568,10,0.014,32030,10,0.037
S10 4LP,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LQ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LR,Terminated,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LS,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LT,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LU,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LW,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LX,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4LY,Live,E01007953,Sheffield 033B E01007953,14310,5,13594,5,0.139,8210,3,0.158,31517,10,12897,4,31312,10,2609,1,28765,9,24877,8,0.073,13537,5,0.18
S10 4LZ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NA,Terminated,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NB,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4ND,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NE,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NF,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NG,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NH,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NJ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NL,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NN,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NP,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NQ,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NR,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NS,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NT,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NU,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4NW,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
S10 4PA,Live,E01007956,Sheffield 041B E01007956,29398,9,29710,10,0.041,30029,10,0.041,32346,10,29751,10,20206,7,8043,3,25502,8,28242,9,0.052,30616,10,0.051
